soc_code,occupation_title,target_domain,description,Realistic,Investigative,Artistic,Social,Enterprising,Conventional,Critical Thinking,Programming,Active Listening,Reading Comprehension,Speaking,Writing,Complex Problem Solving,Decision Making,Deductive Reasoning,Inductive Reasoning,Problem Sensitivity,Oral Comprehension,Mathematical Reasoning,Information Ordering,Visualization,Selective Attention,Computers and Electronics,Mathematics,Engineering and Technology,Business,Psychology,Education and Training,Medicine and Health,Communications
29-1141.01,Acute Care Nurses,Healthcare Practitioners and Technical,"Provide advanced nursing care for patients with acute conditions such as heart attacks, respiratory distress syndrome, or shock. May care for pre- and post-operative patients or perform advanced, invasive diagnostic or therapeutic procedures.",5.74,7.81,2.84,8.52,2.19,4.53,8.61,1.22,7.92,8.71,7.78,7.82,1.35,1.32,8.53,8.3,8.4,8.16,5.84,8.25,5.34,6.23,5.65,6.15,3.16,6.94,7.97,8.11,9.55,5.31
29-1141.01,Acute Care Nurses,Healthcare Practitioners and Technical,"Provide advanced nursing care for patients with acute conditions such as heart attacks, respiratory distress syndrome, or shock. May care for pre- and post-operative patients or perform advanced, invasive diagnostic or therapeutic procedures.",5.46,8.21,2.65,8.12,2.98,5.22,7.92,1.07,7.64,8.6,7.88,8.18,1.39,1.0,8.05,8.27,8.36,8.85,6.02,8.02,5.8,6.46,5.65,6.21,3.36,7.34,7.45,9.07,10.0,5.06
29-1141.01,Acute Care Nurses,Healthcare Practitioners and Technical,"Provide advanced nursing care for patients with acute conditions such as heart attacks, respiratory distress syndrome, or shock. May care for pre- and post-operative patients or perform advanced, invasive diagnostic or therapeutic procedures.",5.76,8.56,2.99,8.16,2.84,4.48,8.18,1.0,8.19,7.79,8.08,7.97,1.41,1.5,8.17,7.97,8.55,8.16,5.76,8.24,5.8,6.77,6.4,5.86,3.41,6.62,7.26,8.08,9.92,5.16
29-1141.01,Acute Care Nurses,Healthcare Practitioners and Technical,"Provide advanced nursing care for patients with acute conditions such as heart attacks, respiratory distress syndrome, or shock. May care for pre- and post-operative patients or perform advanced, invasive diagnostic or therapeutic procedures.",5.78,8.14,2.17,8.76,2.41,4.84,8.41,1.01,7.91,8.05,8.68,8.21,1.0,1.0,8.34,8.48,8.94,8.38,5.86,8.22,5.46,6.26,5.52,5.78,3.49,7.27,7.86,8.18,9.19,5.16
29-1141.01,Acute Care Nurses,Healthcare Practitioners and Technical,"Provide advanced nursing care for patients with acute conditions such as heart attacks, respiratory distress syndrome, or shock. May care for pre- and post-operative patients or perform advanced, invasive diagnostic or therapeutic procedures.",4.8,8.55,2.63,7.95,2.55,4.43,8.0,1.0,8.47,8.25,7.91,8.09,1.07,1.0,7.74,8.36,8.16,8.34,6.31,7.56,5.96,6.68,6.35,5.87,2.94,6.78,7.45,8.54,9.15,4.98
29-1141.01,Acute Care Nurses,Healthcare Practitioners and Technical,"Provide advanced nursing care for patients with acute conditions such as heart attacks, respiratory distress syndrome, or shock. May care for pre- and post-operative patients or perform advanced, invasive diagnostic or therapeutic procedures.",5.15,7.93,3.0,8.56,2.33,4.73,8.32,1.07,7.86,7.96,8.3,8.49,1.0,1.45,8.59,8.4,8.0,8.94,5.74,7.83,5.57,6.95,5.5,5.88,3.89,7.22,7.52,8.88,9.49,5.22
29-1141.01,Acute Care Nurses,Healthcare Practitioners and Technical,"Provide advanced nursing care for patients with acute conditions such as heart attacks, respiratory distress syndrome, or shock. May care for pre- and post-operative patients or perform advanced, invasive diagnostic or therapeutic procedures.",5.05,8.17,2.26,8.67,2.36,5.11,8.63,1.13,7.67,8.53,7.95,7.53,1.0,1.01,8.17,8.39,8.14,8.12,5.94,7.8,5.37,6.19,5.6,5.62,3.03,7.33,7.79,8.93,10.0,5.28
29-1141.01,Acute Care Nurses,Healthcare Practitioners and Technical,"Provide advanced nursing care for patients with acute conditions such as heart attacks, respiratory distress syndrome, or shock. May care for pre- and post-operative patients or perform advanced, invasive diagnostic or therapeutic procedures.",5.52,7.9,2.32,8.33,2.35,4.42,8.15,1.19,7.99,7.82,8.62,7.79,1.15,1.0,7.89,8.69,8.92,8.38,6.01,8.04,5.59,6.99,6.37,5.88,3.05,7.2,7.23,8.1,9.48,4.97
29-1141.02,Advanced Practice Psychiatric Nurses,Healthcare Practitioners and Technical,"Assess, diagnose, and treat individuals and families with mental health or substance use disorders or the potential for such disorders. Apply therapeutic activities, including the prescription of medication, per state regulations, and the administration of psychotherapy.",3.35,8.17,4.33,8.21,2.61,4.96,8.4,1.31,9.09,8.27,8.19,8.39,1.0,1.22,7.88,7.78,8.82,8.22,5.42,7.5,4.94,6.68,6.67,6.06,3.14,6.31,9.53,7.56,9.31,6.11
29-1141.02,Advanced Practice Psychiatric Nurses,Healthcare Practitioners and Technical,"Assess, diagnose, and treat individuals and families with mental health or substance use disorders or the potential for such disorders. Apply therapeutic activities, including the prescription of medication, per state regulations, and the administration of psychotherapy.",4.17,8.31,4.3,8.96,2.55,5.04,7.76,1.29,8.95,8.15,8.34,8.08,1.13,1.0,8.14,7.77,9.46,8.54,5.67,7.63,5.33,6.8,6.51,6.48,3.98,5.94,9.8,7.48,9.05,6.45
29-1141.02,Advanced Practice Psychiatric Nurses,Healthcare Practitioners and Technical,"Assess, diagnose, and treat individuals and families with mental health or substance use disorders or the potential for such disorders. Apply therapeutic activities, including the prescription of medication, per state regulations, and the administration of psychotherapy.",3.26,8.24,4.22,9.1,3.07,4.4,7.78,1.5,8.95,7.56,8.23,8.43,1.36,1.49,8.29,7.64,8.94,8.76,5.44,8.23,5.19,6.98,6.3,6.49,3.98,6.23,9.44,7.54,8.97,6.43
29-1141.02,Advanced Practice Psychiatric Nurses,Healthcare Practitioners and Technical,"Assess, diagnose, and treat individuals and families with mental health or substance use disorders or the potential for such disorders. Apply therapeutic activities, including the prescription of medication, per state regulations, and the administration of psychotherapy.",3.56,8.45,3.72,8.82,2.9,5.11,8.26,1.0,8.82,8.35,7.98,7.94,1.0,1.0,8.16,7.89,8.77,8.61,5.33,7.55,5.19,6.3,6.57,6.02,3.41,6.29,10.0,7.45,8.48,6.39
29-1141.02,Advanced Practice Psychiatric Nurses,Healthcare Practitioners and Technical,"Assess, diagnose, and treat individuals and families with mental health or substance use disorders or the potential for such disorders. Apply therapeutic activities, including the prescription of medication, per state regulations, and the administration of psychotherapy.",3.21,8.25,3.85,8.23,2.74,5.01,7.87,1.0,9.09,7.8,8.14,8.1,1.21,1.14,8.57,8.15,8.74,8.33,5.11,7.59,5.31,7.12,6.94,5.61,3.87,6.43,9.87,7.96,8.48,6.75
29-1141.02,Advanced Practice Psychiatric Nurses,Healthcare Practitioners and Technical,"Assess, diagnose, and treat individuals and families with mental health or substance use disorders or the potential for such disorders. Apply therapeutic activities, including the prescription of medication, per state regulations, and the administration of psychotherapy.",3.99,8.25,3.73,8.6,2.5,5.03,7.97,1.33,8.41,7.85,8.22,8.29,1.21,1.26,8.18,7.5,9.0,8.58,5.05,7.8,5.24,6.83,6.16,6.07,3.87,6.0,10.0,7.92,8.71,6.27
29-1141.02,Advanced Practice Psychiatric Nurses,Healthcare Practitioners and Technical,"Assess, diagnose, and treat individuals and families with mental health or substance use disorders or the potential for such disorders. Apply therapeutic activities, including the prescription of medication, per state regulations, and the administration of psychotherapy.",3.63,8.13,3.61,8.44,2.55,4.49,7.85,1.33,8.78,8.39,8.09,7.56,1.0,1.02,8.19,8.07,9.38,8.42,5.42,7.28,5.0,6.73,6.21,6.09,3.67,6.67,10.0,7.59,8.46,6.15
29-1141.02,Advanced Practice Psychiatric Nurses,Healthcare Practitioners and Technical,"Assess, diagnose, and treat individuals and families with mental health or substance use disorders or the potential for such disorders. Apply therapeutic activities, including the prescription of medication, per state regulations, and the administration of psychotherapy.",3.93,8.67,3.99,8.39,2.66,5.2,7.73,1.06,8.85,7.7,8.56,8.08,1.13,1.32,8.48,7.89,9.09,8.07,4.8,7.82,5.48,7.06,6.43,6.46,3.11,6.03,10.0,7.76,8.42,5.79
29-1141.02,Advanced Practice Psychiatric Nurses,Healthcare Practitioners and Technical,"Assess, diagnose, and treat individuals and families with mental health or substance use disorders or the potential for such disorders. Apply therapeutic activities, including the prescription of medication, per state regulations, and the administration of psychotherapy.",3.79,8.2,4.48,8.98,3.38,5.17,8.3,1.49,8.43,8.2,8.06,7.53,1.0,1.28,8.61,7.67,8.75,8.85,5.23,7.52,4.62,6.86,6.26,6.27,3.16,6.34,9.72,8.12,9.16,6.39
29-1141.02,Advanced Practice Psychiatric Nurses,Healthcare Practitioners and Technical,"Assess, diagnose, and treat individuals and families with mental health or substance use disorders or the potential for such disorders. Apply therapeutic activities, including the prescription of medication, per state regulations, and the administration of psychotherapy.",4.15,7.96,4.32,8.72,3.34,4.73,7.58,1.18,8.64,7.98,8.09,8.19,1.0,1.0,8.26,8.42,8.91,8.7,5.0,8.07,4.62,6.44,6.19,6.1,3.14,6.07,10.0,8.2,8.42,5.85
29-1141.03,Critical Care Nurses,Healthcare Practitioners and Technical,Provide specialized nursing care for patients in critical or coronary care units.,5.5,6.78,2.79,7.98,3.43,6.19,8.14,1.23,7.6,7.65,8.14,6.99,1.02,1.0,8.22,8.19,8.71,7.87,5.96,7.87,5.61,7.72,5.87,6.77,3.88,5.88,8.59,7.91,9.14,4.55
29-1141.03,Critical Care Nurses,Healthcare Practitioners and Technical,Provide specialized nursing care for patients in critical or coronary care units.,5.39,7.35,2.56,7.72,2.89,6.16,7.51,1.34,8.49,8.2,8.22,6.82,1.0,1.1,8.42,8.26,8.6,8.63,5.65,7.27,6.25,7.8,5.56,6.88,3.99,6.01,7.92,7.4,9.88,4.98
29-1141.03,Critical Care Nurses,Healthcare Practitioners and Technical,Provide specialized nursing care for patients in critical or coronary care units.,5.94,6.8,2.37,8.03,3.07,5.63,8.27,1.24,8.28,7.63,7.53,6.36,1.03,1.0,7.98,7.56,8.05,7.77,5.43,7.8,6.03,7.47,6.0,6.66,4.35,5.67,8.44,7.68,9.12,4.77
29-1141.03,Critical Care Nurses,Healthcare Practitioners and Technical,Provide specialized nursing care for patients in critical or coronary care units.,5.74,7.26,2.51,8.18,2.88,5.96,7.65,1.22,8.45,7.79,8.33,6.8,1.0,1.4,7.86,7.91,8.47,8.56,6.14,7.43,5.31,7.88,6.42,6.38,3.73,5.8,8.68,7.78,9.51,4.56
29-1141.03,Critical Care Nurses,Healthcare Practitioners and Technical,Provide specialized nursing care for patients in critical or coronary care units.,5.57,6.88,2.05,7.91,3.43,6.3,7.89,1.0,7.98,7.93,8.05,6.89,1.0,1.0,8.01,7.89,7.87,8.73,5.31,7.55,5.36,7.47,5.74,6.89,3.86,6.35,8.35,7.17,9.71,4.66
29-1141.03,Critical Care Nurses,Healthcare Practitioners and Technical,Provide specialized nursing care for patients in critical or coronary care units.,5.79,7.66,2.08,7.97,2.89,6.33,7.55,1.0,8.0,8.06,7.83,6.99,1.34,1.0,7.89,8.25,7.78,8.27,5.56,7.67,5.31,7.15,6.24,6.83,4.03,6.33,8.16,7.18,9.52,4.66
29-1141.03,Critical Care Nurses,Healthcare Practitioners and Technical,Provide specialized nursing care for patients in critical or coronary care units.,6.0,7.01,2.37,8.39,3.49,5.99,7.81,1.0,8.41,8.27,8.14,6.53,1.17,1.0,8.14,7.85,8.01,8.56,6.07,7.48,5.87,7.63,6.48,7.01,3.88,6.02,8.02,7.71,9.47,5.1
29-1141.03,Critical Care Nurses,Healthcare Practitioners and Technical,Provide specialized nursing care for patients in critical or coronary care units.,5.67,6.93,2.46,7.64,3.29,5.98,8.4,1.0,8.4,7.6,7.94,6.87,1.0,1.4,7.5,8.49,8.33,8.62,6.25,7.38,6.12,7.68,5.6,6.52,4.31,5.92,7.79,7.68,9.24,5.53
29-1141.03,Critical Care Nurses,Healthcare Practitioners and Technical,Provide specialized nursing care for patients in critical or coronary care units.,5.29,6.77,2.61,7.55,3.4,5.96,8.0,1.25,8.49,7.81,7.58,7.2,1.04,1.0,8.32,7.58,8.67,8.16,5.39,7.47,5.31,7.36,5.93,6.42,3.99,5.71,8.59,7.69,9.61,5.27
29-1141.03,Critical Care Nurses,Healthcare Practitioners and Technical,Provide specialized nursing care for patients in critical or coronary care units.,5.17,7.34,2.16,7.77,3.26,5.57,7.54,1.0,8.0,8.02,7.86,6.88,1.0,1.0,7.75,8.48,7.9,8.58,5.56,7.93,6.11,7.38,5.78,6.32,4.01,6.17,8.42,7.49,9.14,4.6
29-1141.04,Clinical Nurse Specialists,Healthcare Practitioners and Technical,"Direct nursing staff in the provision of patient care in a clinical practice setting, such as a hospital, hospice, clinic, or home. Ensure adherence to established clinical policies, protocols, regulations, and standards.",3.5,7.1,2.33,8.94,5.66,6.17,7.78,1.0,7.99,8.06,7.84,7.84,1.33,1.0,7.98,7.76,7.8,7.82,5.48,7.72,4.94,6.53,5.63,5.19,4.19,7.15,8.97,9.08,9.49,5.26
29-1141.04,Clinical Nurse Specialists,Healthcare Practitioners and Technical,"Direct nursing staff in the provision of patient care in a clinical practice setting, such as a hospital, hospice, clinic, or home. Ensure adherence to established clinical policies, protocols, regulations, and standards.",3.65,7.21,2.61,8.82,5.5,6.16,8.49,1.35,7.28,7.75,8.67,7.91,1.14,1.0,7.79,8.5,7.81,7.98,5.34,7.6,5.47,6.72,5.84,5.72,4.35,7.13,8.2,8.5,9.76,5.28
29-1141.04,Clinical Nurse Specialists,Healthcare Practitioners and Technical,"Direct nursing staff in the provision of patient care in a clinical practice setting, such as a hospital, hospice, clinic, or home. Ensure adherence to established clinical policies, protocols, regulations, and standards.",3.61,7.23,2.5,8.96,5.52,6.2,8.44,1.38,8.11,8.35,8.56,7.89,1.48,1.45,7.96,8.07,8.39,8.31,6.05,7.77,5.03,6.23,6.1,5.11,4.2,7.41,8.71,8.52,9.83,5.85
29-1141.04,Clinical Nurse Specialists,Healthcare Practitioners and Technical,"Direct nursing staff in the provision of patient care in a clinical practice setting, such as a hospital, hospice, clinic, or home. Ensure adherence to established clinical policies, protocols, regulations, and standards.",3.0,6.68,2.77,9.3,5.43,5.57,7.55,1.0,7.41,8.03,8.64,8.17,1.41,1.41,8.12,7.53,7.54,8.15,6.19,7.05,5.12,6.71,5.78,5.66,3.82,7.12,8.11,9.24,9.81,5.6
29-1141.04,Clinical Nurse Specialists,Healthcare Practitioners and Technical,"Direct nursing staff in the provision of patient care in a clinical practice setting, such as a hospital, hospice, clinic, or home. Ensure adherence to established clinical policies, protocols, regulations, and standards.",3.06,7.26,2.84,8.98,5.05,5.84,8.4,1.43,7.32,8.03,8.5,8.11,1.0,1.09,7.68,7.52,7.94,7.94,5.72,7.64,5.42,6.81,5.28,5.7,3.5,7.28,8.95,9.11,9.34,5.92
29-1141.04,Clinical Nurse Specialists,Healthcare Practitioners and Technical,"Direct nursing staff in the provision of patient care in a clinical practice setting, such as a hospital, hospice, clinic, or home. Ensure adherence to established clinical policies, protocols, regulations, and standards.",3.22,6.53,3.06,8.94,4.88,5.83,7.86,1.0,7.71,7.97,8.39,8.22,1.0,1.0,8.33,7.87,7.52,8.39,5.53,7.14,4.69,6.15,5.56,5.63,4.46,7.5,9.01,8.78,9.84,5.05
29-1141.04,Clinical Nurse Specialists,Healthcare Practitioners and Technical,"Direct nursing staff in the provision of patient care in a clinical practice setting, such as a hospital, hospice, clinic, or home. Ensure adherence to established clinical policies, protocols, regulations, and standards.",3.7,7.22,2.44,8.9,4.78,5.99,8.16,1.0,7.48,7.67,8.54,8.02,1.0,1.15,8.22,8.02,7.7,8.6,5.49,7.7,4.89,6.77,6.03,5.98,3.96,6.88,8.33,8.45,9.66,5.94
29-1141.04,Clinical Nurse Specialists,Healthcare Practitioners and Technical,"Direct nursing staff in the provision of patient care in a clinical practice setting, such as a hospital, hospice, clinic, or home. Ensure adherence to established clinical policies, protocols, regulations, and standards.",3.78,6.92,3.07,8.74,5.11,5.61,8.14,1.0,7.49,8.18,8.21,7.55,1.0,1.43,8.44,7.51,7.66,8.24,5.84,7.35,4.56,6.07,5.89,5.65,4.45,7.19,8.17,8.89,9.67,5.27
29-1141.04,Clinical Nurse Specialists,Healthcare Practitioners and Technical,"Direct nursing staff in the provision of patient care in a clinical practice setting, such as a hospital, hospice, clinic, or home. Ensure adherence to established clinical policies, protocols, regulations, and standards.",3.01,7.29,2.3,9.23,5.59,5.77,7.72,1.0,7.51,7.84,8.14,7.68,1.1,1.0,8.15,7.93,7.81,7.93,5.46,7.37,5.18,6.88,5.65,5.75,3.77,7.18,8.18,8.9,9.62,5.36
29-1141.04,Clinical Nurse Specialists,Healthcare Practitioners and Technical,"Direct nursing staff in the provision of patient care in a clinical practice setting, such as a hospital, hospice, clinic, or home. Ensure adherence to established clinical policies, protocols, regulations, and standards.",3.22,7.23,2.24,8.77,5.18,6.15,7.67,1.0,7.61,7.9,8.66,7.85,1.28,1.0,8.01,8.2,8.26,7.95,5.55,7.02,5.09,6.29,5.53,6.03,3.74,7.14,8.32,8.64,9.5,5.97
29-1151.00,Nurse Anesthetists,Healthcare Practitioners and Technical,"Administer anesthesia, monitor patient's vital signs, and oversee patient recovery from anesthesia. May assist anesthesiologists, surgeons, other physicians, or dentists. Must be registered nurses who have specialized graduate education.",7.01,7.56,1.48,7.71,2.34,5.5,8.42,1.0,7.97,8.66,8.4,6.27,1.0,1.25,7.77,8.29,9.4,8.56,6.69,8.05,6.13,7.36,6.51,7.8,6.37,6.73,8.27,8.81,9.41,5.17
29-1151.00,Nurse Anesthetists,Healthcare Practitioners and Technical,"Administer anesthesia, monitor patient's vital signs, and oversee patient recovery from anesthesia. May assist anesthesiologists, surgeons, other physicians, or dentists. Must be registered nurses who have specialized graduate education.",6.38,7.31,1.25,7.87,2.65,6.4,8.47,1.35,8.12,8.28,7.88,7.13,1.0,1.32,7.71,7.67,9.24,8.4,5.88,8.38,6.36,7.01,7.15,7.72,5.73,6.35,8.47,8.52,10.0,5.21
29-1151.00,Nurse Anesthetists,Healthcare Practitioners and Technical,"Administer anesthesia, monitor patient's vital signs, and oversee patient recovery from anesthesia. May assist anesthesiologists, surgeons, other physicians, or dentists. Must be registered nurses who have specialized graduate education.",6.92,7.09,1.59,7.91,2.55,6.08,7.8,1.0,7.65,8.07,7.77,6.82,1.26,1.06,7.97,8.49,9.3,8.33,5.79,8.23,6.59,6.69,7.01,7.72,6.01,6.0,8.55,8.24,9.98,5.5
29-1151.00,Nurse Anesthetists,Healthcare Practitioners and Technical,"Administer anesthesia, monitor patient's vital signs, and oversee patient recovery from anesthesia. May assist anesthesiologists, surgeons, other physicians, or dentists. Must be registered nurses who have specialized graduate education.",7.31,7.03,1.6,7.17,2.51,6.22,8.5,1.0,7.62,8.63,7.72,6.41,1.26,1.0,7.67,8.38,9.26,8.63,6.73,8.06,5.93,6.83,6.38,7.54,5.99,6.17,7.8,8.18,9.52,4.7
29-1151.00,Nurse Anesthetists,Healthcare Practitioners and Technical,"Administer anesthesia, monitor patient's vital signs, and oversee patient recovery from anesthesia. May assist anesthesiologists, surgeons, other physicians, or dentists. Must be registered nurses who have specialized graduate education.",7.3,7.02,1.0,7.71,2.99,6.13,8.26,1.0,8.39,8.07,7.82,6.69,1.0,1.0,7.67,7.89,9.85,8.37,5.93,8.68,6.45,6.74,7.28,7.61,6.37,6.57,8.3,8.03,9.87,5.19
29-1151.00,Nurse Anesthetists,Healthcare Practitioners and Technical,"Administer anesthesia, monitor patient's vital signs, and oversee patient recovery from anesthesia. May assist anesthesiologists, surgeons, other physicians, or dentists. Must be registered nurses who have specialized graduate education.",6.95,7.56,1.78,7.93,3.25,5.78,7.78,1.32,8.19,8.22,8.0,6.48,1.0,1.0,7.96,7.78,9.74,7.99,6.51,8.7,6.0,6.94,6.96,7.9,6.47,6.39,7.6,8.64,10.0,5.43
29-1151.00,Nurse Anesthetists,Healthcare Practitioners and Technical,"Administer anesthesia, monitor patient's vital signs, and oversee patient recovery from anesthesia. May assist anesthesiologists, surgeons, other physicians, or dentists. Must be registered nurses who have specialized graduate education.",7.08,7.54,1.91,7.41,2.41,5.89,8.3,1.3,8.1,8.03,7.74,7.21,1.0,1.0,8.23,7.75,9.1,7.77,5.86,8.59,6.31,7.02,6.53,7.72,6.3,6.02,8.02,8.22,9.59,5.28
29-1151.00,Nurse Anesthetists,Healthcare Practitioners and Technical,"Administer anesthesia, monitor patient's vital signs, and oversee patient recovery from anesthesia. May assist anesthesiologists, surgeons, other physicians, or dentists. Must be registered nurses who have specialized graduate education.",6.61,7.41,1.39,7.43,2.92,6.18,8.07,1.27,8.16,8.33,7.69,6.69,1.38,1.0,8.02,8.11,9.88,8.47,6.27,7.86,6.54,7.21,6.68,7.5,6.16,6.72,8.44,8.07,9.98,4.98
29-1151.00,Nurse Anesthetists,Healthcare Practitioners and Technical,"Administer anesthesia, monitor patient's vital signs, and oversee patient recovery from anesthesia. May assist anesthesiologists, surgeons, other physicians, or dentists. Must be registered nurses who have specialized graduate education.",6.96,7.46,1.48,7.33,3.29,5.77,8.63,1.06,8.36,8.58,7.7,7.05,1.0,1.01,7.51,8.03,9.85,7.77,6.06,8.39,6.0,7.31,7.22,7.49,6.18,6.92,7.62,8.09,9.48,4.55
29-1151.00,Nurse Anesthetists,Healthcare Practitioners and Technical,"Administer anesthesia, monitor patient's vital signs, and oversee patient recovery from anesthesia. May assist anesthesiologists, surgeons, other physicians, or dentists. Must be registered nurses who have specialized graduate education.",6.49,7.36,1.58,7.53,2.58,5.73,8.63,1.2,8.44,8.72,7.82,6.79,1.43,1.0,7.53,7.69,9.52,8.03,6.28,7.82,5.81,6.93,6.5,7.6,6.17,6.55,7.61,8.99,10.0,5.34
29-1161.00,Nurse Midwives,Healthcare Practitioners and Technical,"Diagnose and coordinate all aspects of the birthing process, either independently or as part of a healthcare team. May provide well-woman gynecological care. Must have specialized, graduate nursing education.",4.13,6.28,2.66,8.89,4.45,5.28,8.51,1.04,8.39,8.35,8.47,8.02,1.0,1.2,8.47,7.85,8.22,8.33,5.32,7.29,6.38,6.26,6.22,5.98,2.69,5.47,8.66,7.8,9.79,4.95
29-1161.00,Nurse Midwives,Healthcare Practitioners and Technical,"Diagnose and coordinate all aspects of the birthing process, either independently or as part of a healthcare team. May provide well-woman gynecological care. Must have specialized, graduate nursing education.",4.51,6.56,2.81,8.07,3.98,5.15,8.51,1.0,7.99,7.67,8.67,7.84,1.14,1.14,8.01,8.37,8.44,7.75,5.7,7.48,5.73,7.09,6.15,5.45,2.71,5.92,8.96,7.25,9.75,5.44
29-1161.00,Nurse Midwives,Healthcare Practitioners and Technical,"Diagnose and coordinate all aspects of the birthing process, either independently or as part of a healthcare team. May provide well-woman gynecological care. Must have specialized, graduate nursing education.",4.2,6.55,3.27,8.68,4.59,4.58,8.26,1.0,8.41,7.84,8.07,7.44,1.0,1.19,7.95,7.71,8.52,8.33,5.68,6.75,6.4,6.57,5.66,6.18,3.05,5.68,8.8,7.26,9.98,5.04
29-1161.00,Nurse Midwives,Healthcare Practitioners and Technical,"Diagnose and coordinate all aspects of the birthing process, either independently or as part of a healthcare team. May provide well-woman gynecological care. Must have specialized, graduate nursing education.",4.26,5.95,2.89,8.87,4.67,4.39,8.42,1.0,7.9,7.84,8.32,7.79,1.0,1.44,8.69,8.02,8.59,8.44,5.64,6.83,6.14,6.93,5.81,5.72,3.38,5.18,8.76,7.0,9.25,4.84
29-1161.00,Nurse Midwives,Healthcare Practitioners and Technical,"Diagnose and coordinate all aspects of the birthing process, either independently or as part of a healthcare team. May provide well-woman gynecological care. Must have specialized, graduate nursing education.",4.38,6.28,3.19,8.23,3.89,5.05,7.83,1.0,7.91,7.58,8.27,7.53,1.0,1.19,8.41,8.3,7.92,8.17,5.02,7.22,6.05,6.69,5.9,5.99,3.16,5.99,8.35,6.85,9.56,4.85
29-1161.00,Nurse Midwives,Healthcare Practitioners and Technical,"Diagnose and coordinate all aspects of the birthing process, either independently or as part of a healthcare team. May provide well-woman gynecological care. Must have specialized, graduate nursing education.",4.2,6.5,2.58,8.24,3.75,4.47,8.56,1.21,7.86,8.3,8.56,7.55,1.0,1.32,8.49,7.66,8.2,8.65,5.73,7.36,6.04,7.25,5.64,6.0,2.96,5.97,8.91,7.8,9.68,5.1
29-1161.00,Nurse Midwives,Healthcare Practitioners and Technical,"Diagnose and coordinate all aspects of the birthing process, either independently or as part of a healthcare team. May provide well-woman gynecological care. Must have specialized, graduate nursing education.",4.21,6.24,2.58,8.03,4.12,4.71,8.62,1.0,7.86,7.54,8.26,7.58,1.0,1.39,7.89,7.94,8.07,8.28,5.33,6.9,5.86,6.35,6.15,6.03,3.28,5.64,8.25,6.98,9.56,5.31
29-1161.00,Nurse Midwives,Healthcare Practitioners and Technical,"Diagnose and coordinate all aspects of the birthing process, either independently or as part of a healthcare team. May provide well-woman gynecological care. Must have specialized, graduate nursing education.",4.78,6.16,2.61,8.88,4.2,4.6,7.96,1.09,8.68,8.02,8.68,8.23,1.0,1.25,8.34,7.51,7.98,8.57,5.42,7.09,5.91,6.94,5.9,6.14,2.44,5.92,9.11,7.43,9.69,5.65
29-1161.00,Nurse Midwives,Healthcare Practitioners and Technical,"Diagnose and coordinate all aspects of the birthing process, either independently or as part of a healthcare team. May provide well-woman gynecological care. Must have specialized, graduate nursing education.",4.35,5.81,2.64,8.12,4.32,4.94,8.05,1.19,8.53,8.26,8.23,8.15,1.46,1.12,7.77,7.86,8.62,8.17,5.82,7.72,6.39,6.38,5.63,5.47,3.31,5.17,8.69,6.97,9.18,5.27
29-1161.00,Nurse Midwives,Healthcare Practitioners and Technical,"Diagnose and coordinate all aspects of the birthing process, either independently or as part of a healthcare team. May provide well-woman gynecological care. Must have specialized, graduate nursing education.",4.76,5.65,3.27,8.87,4.49,4.7,8.0,1.01,7.76,7.98,7.98,7.57,1.25,1.0,7.92,8.25,7.97,8.45,5.99,7.7,5.96,6.57,5.75,5.85,2.68,5.41,9.11,7.7,10.0,5.5
29-1171.00,Nurse Practitioners,Healthcare Practitioners and Technical,"Diagnose and treat acute, episodic, or chronic illness, independently or as part of a healthcare team. May focus on health promotion and disease prevention. May order, perform, or interpret diagnostic tests such as lab work and x rays. May prescribe medication. Must be registered nurses who have specialized graduate education.",5.5,7.97,2.4,7.8,2.89,5.4,8.16,1.0,8.51,8.38,8.09,8.01,1.0,1.49,8.01,8.72,8.21,8.21,5.99,8.28,5.64,5.95,5.91,6.95,3.94,5.85,8.34,7.21,9.95,5.6
29-1171.00,Nurse Practitioners,Healthcare Practitioners and Technical,"Diagnose and treat acute, episodic, or chronic illness, independently or as part of a healthcare team. May focus on health promotion and disease prevention. May order, perform, or interpret diagnostic tests such as lab work and x rays. May prescribe medication. Must be registered nurses who have specialized graduate education.",4.89,8.28,2.33,8.31,2.62,5.56,8.08,1.0,8.57,8.23,7.84,7.58,1.13,1.13,8.64,8.32,8.78,8.36,5.31,7.74,5.68,6.14,6.16,7.01,4.08,6.35,8.4,7.97,10.0,6.38
29-1171.00,Nurse Practitioners,Healthcare Practitioners and Technical,"Diagnose and treat acute, episodic, or chronic illness, independently or as part of a healthcare team. May focus on health promotion and disease prevention. May order, perform, or interpret diagnostic tests such as lab work and x rays. May prescribe medication. Must be registered nurses who have specialized graduate education.",4.74,7.97,2.06,8.01,2.67,6.23,8.08,1.43,8.54,8.59,8.24,8.49,1.0,1.36,8.45,8.88,8.37,8.11,5.57,7.55,5.92,6.01,5.91,6.58,4.21,6.43,7.92,7.12,9.96,5.67
